lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Dieng, Malang","Rumah nyaman 2 lantai, Bangunan minimalis 3 Kamar tidur, 2 Kamar mandi, carport 1 mobil. Lokasi di Perumahan Bukit Dieng Malang. Dekat Sekolah My L...",1550000000.0,3.0,2.0,135.0,170.0,2026-04-13,Sukun
"Klojen, Malang","Dijual rumah mewah dekat kampus Universitas Negeri Malang
 
 Lokasi sangat strategis, area padat lalu lintas, dekat dengan Mall Matos
 Luas 503 m2 ...",10700000000.0,11.0,5.0,503.0,400.0,2026-04-13,Klojen
"Klojen, Malang","Dijual rumah berhalaman luas di dekat pasar Tawangmangu Malang
 
 Luas 303 m2
 Lokasi strategis, area padat lalu lintas
 Juga dekat sekolah, puskes...",2700000000.0,4.0,2.0,303.0,100.0,2026-04-13,Klojen
"Sukun, Malang","Dijual rumah lokasi nyaman daerah Tidar Malang Kota
 
 Fitur rumah meliputi :
 - Sertifikat sudah SHM
 - Bangunan bebas perawatan, material 80% gra...",6500000000.0,9.0,7.0,467.0,800.0,2026-04-13,Sukun
"Araya, Malang",Dijual Rumah Klasik Posisi Hook di Araya Malang  Spesifikasi:  berada di posisi hook  ⁠kondisi baik dan siap huni  ⁠private cluster  ⁠hanya 3...,2300000000.0,3.0,2.0,210.0,350.0,2026-04-13,Blimbing
"Sawojajar, Malang","Rumah Jual Lokasi Strategis di Pusat Kuliner dan Bisnis, Traffic Ramai Akses Jalan Lebar (aspal) 3 mobil Dekat Velodrom, Exit Tol Malang Kota Cocok...",7000000000.0,3.0,3.0,469.0,469.0,2026-04-13,Blimbing
"Blimbing, Malang",Rumah Murah 2 Lantai di Perumahan Elite Araya Malang Luas 302 m2  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sang...,2200000000.0,6.0,4.0,302.0,300.0,2026-04-13,Blimbing
"Blimbing, Malang",Turun Harga! Rumah Murah di Perumahan Araya Blimbing Luas 264 m2  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sang...,2100000000.0,3.0,2.0,264.0,180.0,2026-04-13,Blimbing
"Klojen, Malang","Rumah Klasik di Tengah Kota Area Langsep Dieng Luas 313 m2  Lokasi strategis, dekat dengan pusat perbelanjaan, alun2 kota, rumah sakit, selangkah d...",3600000000.0,5.0,3.0,313.0,240.0,2026-04-13,Klojen
"Lowokwaru, Malang","(DN2687) Untuk Katalog Properti Lengkap, Bisa Diakses Langsung Melalui Link Berikut ********  Lokasi Hanya Selangkah Ke Suhat (Pusat Pendidikan, Bi...",3590000000.0,18.0,19.0,162.0,300.0,2026-04-13,Lowokwaru
"Blimbing, Malang",Rumah Hooq Luas 286 m2 Kawasan Elite Perumahan Araya Malang  Kawasan elite di kota Malang mudah diakses dan jalanan yang lebar. Fasilitas sangat le...,2500000000.0,3.0,3.0,286.0,145.0,2026-04-13,Blimbing
"Klojen, Malang","DIJUAL RUMAH BARU TENGAH KOTA LETJEND S PARMAN KOTA MALANG   BANGUNAN BARU GRESS MODERN SIAP HUNI   KAWASAN HUNIAN YANG NYAMAN, AMAN DAN TENANG   D...",1900000000.0,4.0,2.0,175.0,160.0,2026-04-13,Klojen
