lokasi,judul,harga_bersih,kamar_tidur,kamar_mandi,luas_tanah_m2,luas_bangunan,tanggal_clean,kecamatan
"Lowokwaru, Malang","Dijual Rumah Semi Furnished Open Space di Brawijaya Residence, Lowokwaru Malang Open space concept Ada rooftop Ada mushola, service area, ruang ker...",1600000000.0,3.0,2.0,155.0,165.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang","RUMAH HOOK LOKASI STRATEGIS - DEKAT KAMPUS & PUSAT KULINER  Kesempatan memiliki rumah di lokasi premium yang dikelilingi pusat bisnis, pendidikan, ...",1200000000.0,3.0,1.0,227.0,200.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang","RUMAH HOOK LOKASI STRATEGIS - DEKAT KAMPUS & PUSAT KULINER  Kesempatan memiliki rumah di lokasi premium yang dikelilingi pusat bisnis, pendidikan, ...",1200000000.0,3.0,1.0,227.0,200.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang","RUMAH HOOK LOKASI STRATEGIS - DEKAT KAMPUS & PUSAT KULINER  Kesempatan memiliki rumah di lokasi premium yang dikelilingi pusat bisnis, pendidikan, ...",1200000000.0,3.0,1.0,227.0,200.0,2026-04-13,Lowokwaru
"Lowokwaru, Malang","RUMAH HOOK LOKASI STRATEGIS - DEKAT KAMPUS & PUSAT KULINER  Kesempatan memiliki rumah di lokasi premium yang dikelilingi pusat bisnis, pendidikan, ...",1200000000.0,3.0,1.0,227.0,200.0,2026-04-13,Lowokwaru
"Sawojajar, Malang","Dijual Rumah di Sawojajar Kedungkandang - Kota Malang Dekat Kampus Wisnuwardhana, UM Kampus II & Exit Tol Madyopuro  Spesifikasi:  Legalitas: SHM J...",1000000000.0,3.0,2.0,114.0,105.0,2026-04-13,Blimbing
"Dieng, Malang","RUMAH DIJUAL DI KAWASAN DIENG - SIAP HUNI, LOKASI PREMIUM!  Kesempatan emas memiliki rumah dalam perumahan di kawasan elit Dieng, dengan kondisi ba...",4000000000.0,4.0,3.0,300.0,400.0,2026-04-13,Sukun
"Sukun, Malang","RUMAH DIJUAL DI KAWASAN DIENG - SIAP HUNI, LOKASI PREMIUM!  Kesempatan emas memiliki rumah dalam perumahan di kawasan elit Dieng, dengan kondisi ba...",4000000000.0,4.0,3.0,300.0,240.0,2026-04-13,Sukun
"Dieng, Malang","RUMAH DIJUAL DI KAWASAN DIENG - SIAP HUNI, LOKASI PREMIUM!  Kesempatan emas memiliki rumah dalam perumahan di kawasan elit Dieng, dengan kondisi ba...",4000000000.0,4.0,3.0,300.0,240.0,2026-04-13,Sukun
"Araya, Malang",K39 Update Colisting  Dijual Rumah Tema Klasik di Cluster Golf Kota Araya Malang  - berada di posisi hook - ⁠kondisi baik dan siap huni - ⁠priv...,2300000000.0,3.0,2.0,210.0,350.0,2026-04-13,Blimbing
